component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_sn_score_l,metaValue_sn_score_u
Lactate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Pyruvate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
PEP,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Succinate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Fumarate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Malate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Erythritol,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
aKG,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
DHAP,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
GAP,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
G3P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
3PG,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Citrate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
E4P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
R5P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
F6P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
G6P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
S7P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
35cgmp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dgmp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dtmp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
ribflv,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
amp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
gmp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
imp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
camp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
gthox,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
btn,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
mmal,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
succ,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
mal-L,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
glutacon,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
fum,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
udpg,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
damp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
oxa,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
actp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
oaa,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dtdpglu,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
nadh,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
adpglc,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
chor,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
fol,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dgdp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
gdp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
6pgc,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Pool_2pg_3pg,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dcdp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
adp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
2mcit,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
udp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
acon-C,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
nadp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dadp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
cit,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Pool_cit_icit,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
icit,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
fad,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
fdp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
udpglcur,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dgtp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
ctp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dctp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
ditp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dutp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
itp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
utp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
23dpg,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
atp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
datp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dttp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
gtp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
nadph,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
prpp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
phpyr,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
coa,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
accoa,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
malcoa,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
succoa,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
