sample_name,component_name,IS_component_name,actual_concentration,IS_actual_concentration,concentration_units,dilution_factor
0p5ug,Serotonin,,0.5,1,ug/mL,1
0p5ug,5-HTP,,0.5,1,ug/mL,1
0p5ug,Tryptophan,,0.5,1,ug/mL,1
0p5ug,Tryptamine,,0.5,1,ug/mL,1
0p5ug,Acetylserotonin,,0.5,1,ug/mL,1
0p5ug,Riboflavin,,0.5,1,ug/mL,1
0p5ug,5-hydroxyindole,,0.5,1,ug/mL,1
0p5ug,Antranilicacid,,0.5,1,ug/mL,1
0p5ug,Melatonin,,0.5,1,ug/mL,1
0p5ug,Acetyltryptamine,,0.5,1,ug/mL,1
0p5ug,Indole,,0.5,1,ug/mL,1
1ug,Serotonin,,1,1,ug/mL,1
1ug,5-HTP,,1,1,ug/mL,1
1ug,Tryptophan,,1,1,ug/mL,1
1ug,Tryptamine,,1,1,ug/mL,1
1ug,Acetylserotonin,,1,1,ug/mL,1
1ug,Riboflavin,,1,1,ug/mL,1
1ug,5-hydroxyindole,,1,1,ug/mL,1
1ug,Antranilicacid,,1,1,ug/mL,1
1ug,Melatonin,,1,1,ug/mL,1
1ug,Acetyltryptamine,,1,1,ug/mL,1
1ug,Indole,,1,1,ug/mL,1
2p5ug,Serotonin,,2.5,1,ug/mL,1
2p5ug,5-HTP,,2.5,1,ug/mL,1
2p5ug,Tryptophan,,2.5,1,ug/mL,1
2p5ug,Tryptamine,,2.5,1,ug/mL,1
2p5ug,Acetylserotonin,,2.5,1,ug/mL,1
2p5ug,Riboflavin,,2.5,1,ug/mL,1
2p5ug,5-hydroxyindole,,2.5,1,ug/mL,1
2p5ug,Antranilicacid,,2.5,1,ug/mL,1
2p5ug,Melatonin,,2.5,1,ug/mL,1
2p5ug,Acetyltryptamine,,2.5,1,ug/mL,1
2p5ug,Indole,,2.5,1,ug/mL,1
5ug,Serotonin,,5,1,ug/mL,1
5ug,5-HTP,,5,1,ug/mL,1
5ug,Tryptophan,,5,1,ug/mL,1
5ug,Tryptamine,,5,1,ug/mL,1
5ug,Acetylserotonin,,5,1,ug/mL,1
5ug,Riboflavin,,5,1,ug/mL,1
5ug,5-hydroxyindole,,5,1,ug/mL,1
5ug,Antranilicacid,,5,1,ug/mL,1
5ug,Melatonin,,5,1,ug/mL,1
5ug,Acetyltryptamine,,5,1,ug/mL,1
5ug,Indole,,5,1,ug/mL,1
10ug,Serotonin,,10,1,ug/mL,1
10ug,5-HTP,,10,1,ug/mL,1
10ug,Tryptophan,,10,1,ug/mL,1
10ug,Tryptamine,,10,1,ug/mL,1
10ug,Acetylserotonin,,10,1,ug/mL,1
10ug,Riboflavin,,10,1,ug/mL,1
10ug,5-hydroxyindole,,10,1,ug/mL,1
10ug,Antranilicacid,,10,1,ug/mL,1
10ug,Melatonin,,10,1,ug/mL,1
10ug,Acetyltryptamine,,10,1,ug/mL,1
10ug,Indole,,10,1,ug/mL,1
25ug,Serotonin,,25,1,ug/mL,1
25ug,5-HTP,,25,1,ug/mL,1
25ug,Tryptophan,,25,1,ug/mL,1
25ug,Tryptamine,,25,1,ug/mL,1
25ug,Acetylserotonin,,25,1,ug/mL,1
25ug,Riboflavin,,25,1,ug/mL,1
25ug,5-hydroxyindole,,25,1,ug/mL,1
25ug,Antranilicacid,,25,1,ug/mL,1
25ug,Melatonin,,25,1,ug/mL,1
25ug,Acetyltryptamine,,25,1,ug/mL,1
25ug,Indole,,25,1,ug/mL,1
50ug,Serotonin,,50,1,ug/mL,1
50ug,5-HTP,,50,1,ug/mL,1
50ug,Tryptophan,,50,1,ug/mL,1
50ug,Tryptamine,,50,1,ug/mL,1
50ug,Acetylserotonin,,50,1,ug/mL,1
50ug,Riboflavin,,50,1,ug/mL,1
50ug,5-hydroxyindole,,50,1,ug/mL,1
50ug,Antranilicacid,,50,1,ug/mL,1
50ug,Melatonin,,50,1,ug/mL,1
50ug,Acetyltryptamine,,50,1,ug/mL,1
50ug,Indole,,50,1,ug/mL,1
100ug,Serotonin,,100,1,ug/mL,1
100ug,5-HTP,,100,1,ug/mL,1
100ug,Tryptophan,,100,1,ug/mL,1
100ug,Tryptamine,,100,1,ug/mL,1
100ug,Acetylserotonin,,100,1,ug/mL,1
100ug,Riboflavin,,100,1,ug/mL,1
100ug,5-hydroxyindole,,100,1,ug/mL,1
100ug,Antranilicacid,,100,1,ug/mL,1
100ug,Melatonin,,100,1,ug/mL,1
100ug,Acetyltryptamine,,100,1,ug/mL,1
100ug,Indole,,100,1,ug/mL,1
250ug,Serotonin,,250,1,ug/mL,1
250ug,5-HTP,,250,1,ug/mL,1
250ug,Tryptophan,,250,1,ug/mL,1
250ug,Tryptamine,,250,1,ug/mL,1
250ug,Acetylserotonin,,250,1,ug/mL,1
250ug,Riboflavin,,250,1,ug/mL,1
250ug,5-hydroxyindole,,250,1,ug/mL,1
250ug,Antranilicacid,,250,1,ug/mL,1
250ug,Melatonin,,250,1,ug/mL,1
250ug,Acetyltryptamine,,250,1,ug/mL,1
250ug,Indole,,250,1,ug/mL,1
500ug,Serotonin,,500,1,ug/mL,1
500ug,5-HTP,,500,1,ug/mL,1
500ug,Tryptophan,,500,1,ug/mL,1
500ug,Tryptamine,,500,1,ug/mL,1
500ug,Acetylserotonin,,500,1,ug/mL,1
500ug,Riboflavin,,500,1,ug/mL,1
500ug,5-hydroxyindole,,500,1,ug/mL,1
500ug,Antranilicacid,,500,1,ug/mL,1
500ug,Melatonin,,500,1,ug/mL,1
500ug,Acetyltryptamine,,500,1,ug/mL,1
500ug,Indole,,500,1,ug/mL,1
750ug,Serotonin,,750,1,ug/mL,1
750ug,5-HTP,,750,1,ug/mL,1
750ug,Tryptophan,,750,1,ug/mL,1
750ug,Tryptamine,,750,1,ug/mL,1
750ug,Acetylserotonin,,750,1,ug/mL,1
750ug,Riboflavin,,750,1,ug/mL,1
750ug,5-hydroxyindole,,750,1,ug/mL,1
750ug,Antranilicacid,,750,1,ug/mL,1
750ug,Melatonin,,750,1,ug/mL,1
750ug,Acetyltryptamine,,750,1,ug/mL,1
750ug,Indole,,750,1,ug/mL,1
1000ug,Serotonin,,1000,1,ug/mL,1
1000ug,5-HTP,,1000,1,ug/mL,1
1000ug,Tryptophan,,1000,1,ug/mL,1
1000ug,Tryptamine,,1000,1,ug/mL,1
1000ug,Acetylserotonin,,1000,1,ug/mL,1
1000ug,Riboflavin,,1000,1,ug/mL,1
1000ug,5-hydroxyindole,,1000,1,ug/mL,1
1000ug,Antranilicacid,,1000,1,ug/mL,1
1000ug,Melatonin,,1000,1,ug/mL,1
1000ug,Acetyltryptamine,,1000,1,ug/mL,1
1000ug,Indole,,1000,1,ug/mL,1
2500ug,Serotonin,,2500,1,ug/mL,1
2500ug,5-HTP,,2500,1,ug/mL,1
2500ug,Tryptophan,,2500,1,ug/mL,1
2500ug,Tryptamine,,2500,1,ug/mL,1
2500ug,Acetylserotonin,,2500,1,ug/mL,1
2500ug,Riboflavin,,2500,1,ug/mL,1
2500ug,5-hydroxyindole,,2500,1,ug/mL,1
2500ug,Antranilicacid,,2500,1,ug/mL,1
2500ug,Melatonin,,2500,1,ug/mL,1
2500ug,Acetyltryptamine,,2500,1,ug/mL,1
2500ug,Indole,,2500,1,ug/mL,1
5000ug,Serotonin,,5000,1,ug/mL,1
5000ug,5-HTP,,5000,1,ug/mL,1
5000ug,Tryptophan,,5000,1,ug/mL,1
5000ug,Tryptamine,,5000,1,ug/mL,1
5000ug,Acetylserotonin,,5000,1,ug/mL,1
5000ug,Riboflavin,,5000,1,ug/mL,1
5000ug,5-hydroxyindole,,5000,1,ug/mL,1
5000ug,Antranilicacid,,5000,1,ug/mL,1
5000ug,Melatonin,,5000,1,ug/mL,1
5000ug,Acetyltryptamine,,5000,1,ug/mL,1
5000ug,Indole,,5000,1,ug/mL,1
