component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_position_l,metaValue_peak_apex_position_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_calculated_concentration_l,metaValue_calculated_concentration_u
thr-L.thr-L_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m3-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m3-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
thr-L.thr-L_m4-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m3-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m4-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
met-L.met-L_m5-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m3-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
asp-L.asp-L_m4-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_m4-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glu-L.glu-L_m5-5,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m3-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m4-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m4-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m5-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m5-5,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m6-5,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m6-6,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
skm.skm_m7-6,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyclt.glyclt_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyclt.glyclt_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyclt.glyclt_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyclt.glyclt_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pyr.pyr_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pyr.pyr_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pyr.pyr_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pyr.pyr_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g6p.g6p_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
f6p.f6p_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
s7p.s7p_m7-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyc3p.glyc3p_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyc3p.glyc3p_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyc3p.glyc3p_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
glyc3p.glyc3p_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
g1p.g1p_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
r5p.r5p_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ru5p-D.ru5p-D_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m7-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m8-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
ump.ump_m9-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dhap.dhap_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dhap.dhap_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dhap.dhap_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
dhap.dhap_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m10-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m7-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m8-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
amp.amp_m9-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
succ.succ_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
succ.succ_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
succ.succ_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
succ.succ_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
