component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_position_l,metaValue_peak_apex_position_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_calculated_concentration_l,metaValue_calculated_concentration_u
succ.succ_m4-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
mal-L.mal-L_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
mal-L.mal-L_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
mal-L.mal-L_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
mal-L.mal-L_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
mal-L.mal-L_m4-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m3-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m4-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m4-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
akg.akg_m5-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
6pgc.6pgc_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
6pgc.6pgc_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
6pgc.6pgc_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
6pgc.6pgc_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
6pgc.6pgc_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
6pgc.6pgc_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
6pgc.6pgc_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Pool_2pg_3pg.Pool_2pg_3pg_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Pool_2pg_3pg.Pool_2pg_3pg_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Pool_2pg_3pg.Pool_2pg_3pg_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Pool_2pg_3pg.Pool_2pg_3pg_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m3-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m4-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m4-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m5-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m5-5,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
acon-C.acon-C_m6-5,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pep.pep_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pep.pep_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pep.pep_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
pep.pep_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m1-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m2-1,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m2-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m3-2,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m3-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m4-3,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m4-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m5-4,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m5-5,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
icit.icit_m6-5,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m10-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m11-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m12-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m13-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m14-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m15-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m16-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m17-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m18-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m19-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m20-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m21-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m22-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m23-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m24-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m25-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m26-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m27-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m7-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m8-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fad.fad_m9-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fdp.fdp_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fdp.fdp_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fdp.fdp_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fdp.fdp_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fdp.fdp_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fdp.fdp_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
fdp.fdp_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
23dpg.23dpg_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
23dpg.23dpg_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
23dpg.23dpg_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
23dpg.23dpg_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m10-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m7-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m8-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
atp.atp_m9-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
prpp.prpp_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
prpp.prpp_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
prpp.prpp_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
prpp.prpp_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
prpp.prpp_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
prpp.prpp_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m0-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m1-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m10-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m11-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m12-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m13-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m14-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m15-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m16-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m17-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m18-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m19-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m2-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m20-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m21-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m22-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m23-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m3-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m4-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m5-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m6-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m7-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m8-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
accoa.accoa_m9-0,100,5.00E+06,0.00E+00,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
